transactionId,customer,country,date,product,code,sales,cost,profit
0001,Alice Johnson,USA,2023-11-21,Delta,2vfv2i,6062.0,2264.0,3798.0
0002,Frank Thomas,USA,2022-06-04,Epsilon,bhg161,9749.0,2178.0,7571.0
0003,Jane Smith,France,2022-01-20,Alpha,doxx29,1768.0,1041.0,727.0
0004,Charlie Davis,United Arab Emirates,2023-09-01,Epsilon,hn7hv2,8897.0,,
0005,John Doe,Brazil,2023-02-04,Theta,z68cb0,2264.0,653.0,1611.0
0006,Charlie Davis,United Kingdom,2022-05-08,Iota,viwvxq,6160.0,3273.0,2887.0
0007,Alice Johnson,USA,2023-11-22,Beta,dqlo0j,1897.0,4253.0,-2356.0
0008,John Doe,France,2022-02-03,Eta,5okrfj,2138.0,2777.0,-639.0
0009,Frank Thomas,United Arab Emirates,2022-08-25,Delta,cj2o75,3811.0,666.0,3145.0
0010,Alice Johnson,United Arab Emirates,2022-01-07,Kappa,nr9s6h,3544.0,3946.0,-402.0
0011,Alice Johnson,India,2023-02-11,Alpha,j37k85,7422.0,1380.0,6042.0
0012,Eve Wilson,France,2023-10-23,Gamma,rxyzmt,149.0,2191.0,-2042.0
0013,Bob Brown,India,2023-09-18,Delta,i7tfad,6376.0,,
0014,Jane Smith,India,2023-07-10,Eta,hchxv5,6550.0,2517.0,4033.0
0015,Eve Wilson,France,2023-09-20,Gamma,roq0e8,8442.0,3091.0,5351.0
0016,Eve Wilson,United Kingdom,2023-09-14,Iota,u70sm2,1111.0,758.0,353.0
0017,Bob Brown,USA,2022-06-06,Gamma,xxot4o,6837.0,,
0018,John Doe,United Arab Emirates,2022-06-06,Delta,69btth,8306.0,,
0019,Jane Smith,USA,2023-04-26,Eta,2jlgvp,1274.0,3374.0,-2100.0
0020,John Doe,United Arab Emirates,2022-06-18,Zeta,7zhami,1279.0,2165.0,-886.0
0021,Bob Brown,India,2022-05-22,Epsilon,456ro9,9105.0,2464.0,6641.0
0022,Bob Brown,USA,2022-02-02,Theta,5re5ds,3376.0,4482.0,-1106.0
0023,Charlie Davis,India,2023-06-03,Epsilon,qe44w7,6153.0,2120.0,4033.0
0024,Alice Johnson,United Arab Emirates,2022-09-15,Beta,gw6tyn,6578.0,3254.0,3324.0
0025,Charlie Davis,United Kingdom,2022-01-28,Epsilon,83g9wq,5039.0,3970.0,1069.0
0026,Alice Johnson,Brazil,2022-04-10,Zeta,ac4w0p,8830.0,1242.0,7588.0
0027,Charlie Davis,United Arab Emirates,2022-05-09,Delta,6qg5b1,8157.0,2231.0,5926.0
0028,Frank Thomas,India,2022-04-18,Kappa,5zdj7x,5909.0,2688.0,3221.0
0029,Charlie Davis,United Arab Emirates,2023-08-11,Gamma,k0nde4,2009.0,3929.0,-1920.0
0030,John Doe,United Kingdom,2023-01-10,Zeta,8c15b0,996.0,4814.0,-3818.0
0031,Eve Wilson,India,2022-01-27,Gamma,5tecgt,9272.0,96.0,9176.0
0032,John Doe,USA,2022-11-26,Zeta,211nv8,9891.0,423.0,9468.0
0033,Bob Brown,United Kingdom,2023-10-13,Alpha,2e399x,4937.0,2048.0,2889.0
0034,Frank Thomas,Brazil,2022-09-05,Gamma,yy9nt1,6661.0,996.0,5665.0
0035,Bob Brown,India,2023-07-23,Gamma,v1v1u4,9026.0,2514.0,6512.0
0036,Eve Wilson,United Arab Emirates,2022-08-19,Epsilon,zxdp3k,9557.0,2354.0,7203.0
0037,John Doe,India,2022-11-05,Delta,rhhe9j,3438.0,,
0038,Eve Wilson,France,2022-03-05,Kappa,2s4kjc,5966.0,4755.0,1211.0
0039,Eve Wilson,India,2023-09-28,Kappa,8uhql9,7285.0,2999.0,4286.0
0040,Bob Brown,USA,2023-02-11,Delta,wpqga7,6269.0,765.0,5504.0
0041,Bob Brown,USA,2022-11-03,Beta,ab8cvl,4781.0,3562.0,1219.0
0042,Alice Johnson,France,2022-09-09,Alpha,yy9o75,2719.0,3606.0,-887.0
0043,Bob Brown,United Arab Emirates,2022-04-01,Beta,aiy8ew,1781.0,3826.0,-2045.0
0044,Frank Thomas,United Arab Emirates,2023-11-05,Zeta,a18owm,8384.0,3800.0,4584.0
0045,Frank Thomas,India,2022-02-08,Epsilon,ycy6o1,5657.0,4559.0,1098.0
0046,Frank Thomas,France,2022-01-18,Eta,pfe275,7123.0,1160.0,5963.0
0047,Eve Wilson,Brazil,2022-01-29,Epsilon,k371ln,4673.0,4357.0,316.0
0048,Jane Smith,USA,2023-07-01,Beta,o54e9k,1644.0,4005.0,-2361.0
0049,John Doe,Brazil,2023-10-01,Beta,6xni04,1063.0,2286.0,-1223.0
0050,John Doe,France,2022-03-18,Epsilon,4b8reh,9817.0,2157.0,7660.0
0051,Jane Smith,France,2023-01-22,Kappa,ml54h3,9092.0,,
0052,Alice Johnson,France,2022-04-14,Zeta,ndadx0,7870.0,2418.0,5452.0
0053,Eve Wilson,United Kingdom,2023-07-18,Zeta,9wyti3,9463.0,,
0054,Jane Smith,USA,2022-01-30,Alpha,t0n6l9,6917.0,3265.0,3652.0
0055,Charlie Davis,USA,2022-12-10,Zeta,s4zm8w,3012.0,480.0,2532.0
0056,Bob Brown,United Kingdom,2023-07-04,Gamma,tuchxc,7087.0,675.0,6412.0
0057,Eve Wilson,India,2023-01-01,Kappa,bobqg7,409.0,3507.0,-3098.0
0058,Eve Wilson,Brazil,2022-11-29,Delta,fz81y7,2848.0,1583.0,1265.0
0059,Eve Wilson,France,2022-01-15,Beta,jmttew,9075.0,3935.0,5140.0
0060,Eve Wilson,Brazil,2022-01-15,Alpha,agtplt,4621.0,4409.0,212.0
0061,Bob Brown,United Arab Emirates,2022-04-03,Delta,5w8cn2,1752.0,463.0,1289.0
0062,Frank Thomas,United Kingdom,2023-12-22,Alpha,bbor7y,6503.0,2485.0,4018.0
0063,Eve Wilson,USA,2022-01-01,Eta,u0isjh,4778.0,4252.0,526.0
0064,Alice Johnson,France,2023-07-27,Epsilon,cai7l8,2421.0,4951.0,-2530.0
0065,Charlie Davis,Brazil,2022-12-27,Gamma,ryhgs2,5988.0,916.0,5072.0
0066,Eve Wilson,USA,2023-01-30,Kappa,5qhjeo,1517.0,,
0067,Frank Thomas,USA,2023-04-25,Iota,mzgh53,7003.0,3117.0,3886.0
0068,Jane Smith,India,2023-10-14,Zeta,j11ltr,9059.0,3132.0,5927.0
0069,Jane Smith,USA,2023-06-11,Zeta,o0ngzp,7476.0,3115.0,4361.0
0070,Alice Johnson,Brazil,2023-11-14,Delta,sy4pn4,2470.0,3017.0,-547.0
0071,Bob Brown,Brazil,2022-05-27,Gamma,98k56o,325.0,3938.0,-3613.0
0072,Eve Wilson,Brazil,2023-08-03,Theta,hmeb6v,860.0,2541.0,-1681.0
0073,Jane Smith,United Arab Emirates,2022-06-04,Iota,ulpj85,9476.0,691.0,8785.0
0074,Frank Thomas,United Kingdom,2022-09-23,Alpha,2h2o8o,2433.0,4891.0,-2458.0
0075,Charlie Davis,France,2023-06-22,Zeta,7wq8rp,5247.0,1946.0,3301.0
0076,John Doe,USA,2022-11-22,Kappa,khu3qi,5489.0,1089.0,4400.0
0077,John Doe,United Kingdom,2023-06-25,Kappa,enxqfe,1957.0,2344.0,-387.0
0078,John Doe,USA,2023-06-09,Alpha,v58fv1,7636.0,3190.0,4446.0
0079,Bob Brown,France,2022-09-13,Gamma,to2i7m,7892.0,390.0,7502.0
0080,John Doe,USA,2022-12-20,Alpha,vpxo64,9847.0,,
0081,Bob Brown,USA,2023-01-02,Alpha,szhjwk,1731.0,,
0082,Frank Thomas,United Kingdom,2023-09-12,Beta,uebj7m,9240.0,216.0,9024.0
0083,Eve Wilson,France,2022-11-21,Zeta,n1pzjv,6728.0,3073.0,3655.0
0084,Charlie Davis,France,2022-10-20,Epsilon,2lec80,645.0,159.0,486.0
0085,Alice Johnson,United Kingdom,2023-06-02,Iota,e0r4b7,6517.0,1280.0,5237.0
0086,Eve Wilson,Brazil,2022-09-22,Gamma,3jex7p,7703.0,,
0087,Eve Wilson,United Arab Emirates,2022-11-13,Gamma,lk2nbr,3691.0,4451.0,-760.0
0088,Eve Wilson,USA,2022-02-07,Alpha,jnzop4,7614.0,955.0,6659.0
0089,Bob Brown,United Kingdom,2022-05-02,Kappa,mh2s3f,9634.0,4389.0,5245.0
0090,Alice Johnson,USA,2023-07-17,Beta,eyv7dz,9804.0,289.0,9515.0
0091,Frank Thomas,France,2023-04-23,Beta,jl0c9z,1428.0,4487.0,-3059.0
0092,Charlie Davis,France,2022-04-23,Kappa,2j8e8j,9328.0,4500.0,4828.0
0093,Bob Brown,United Arab Emirates,2023-11-15,Iota,xu4ty5,5619.0,1418.0,4201.0
0094,Frank Thomas,USA,2023-02-05,Eta,3ualzz,8797.0,2162.0,6635.0
0095,Bob Brown,United Arab Emirates,2022-09-28,Zeta,2szhxb,8114.0,3077.0,5037.0
0096,Bob Brown,India,2022-09-29,Beta,63pg3d,1264.0,2634.0,-1370.0
0097,Charlie Davis,India,2022-05-30,Beta,5cvo76,3096.0,1386.0,1710.0
0098,Eve Wilson,USA,2022-03-21,Epsilon,29pkm1,5761.0,493.0,5268.0
0099,Bob Brown,India,2022-03-16,Alpha,vk7y3k,2893.0,2122.0,771.0
0100,Charlie Davis,United Kingdom,2023-06-19,Beta,lm91av,1009.0,1026.0,-17.0
0101,Charlie Davis,Brazil,2023-09-06,Kappa,cp4y9h,9644.0,,
0102,Charlie Davis,India,2023-06-24,Epsilon,l4uj8b,4260.0,994.0,3266.0
0103,Eve Wilson,France,2023-11-01,Kappa,u21lv3,8409.0,3941.0,4468.0
0104,Bob Brown,India,2023-08-27,Eta,pvi93e,3993.0,4167.0,-174.0
0105,Alice Johnson,United Kingdom,2022-07-28,Delta,8ujzc4,5007.0,1465.0,3542.0
0106,Alice Johnson,Brazil,2022-10-13,Delta,haykiy,3205.0,4049.0,-844.0
0107,Alice Johnson,United Arab Emirates,2022-06-27,Alpha,300vv5,9158.0,1742.0,7416.0
0108,Charlie Davis,India,2023-03-30,Zeta,3v2n8c,915.0,2207.0,-1292.0
0109,John Doe,United Arab Emirates,2022-04-08,Delta,kiq0qx,112.0,1325.0,-1213.0
0110,Alice Johnson,United Arab Emirates,2023-01-09,Alpha,bfi3z6,2014.0,2419.0,-405.0
0111,Charlie Davis,United Arab Emirates,2023-09-20,Eta,1ih0qh,6016.0,1882.0,4134.0
0112,Charlie Davis,India,2022-02-21,Delta,xmxpuu,1032.0,2173.0,-1141.0
0113,Alice Johnson,France,2023-06-12,Gamma,1bibgw,9218.0,3737.0,5481.0
0114,Frank Thomas,France,2022-08-14,Eta,arhbob,2696.0,383.0,2313.0
0115,John Doe,France,2023-11-23,Eta,r4dy22,1049.0,1188.0,-139.0
0116,Bob Brown,India,2022-04-26,Kappa,66pj46,265.0,2526.0,-2261.0
0117,Alice Johnson,USA,2022-10-15,Gamma,32ngk1,6508.0,3318.0,3190.0
0118,Charlie Davis,Brazil,2022-07-21,Kappa,3xyccz,1262.0,1515.0,-253.0
0119,Frank Thomas,India,2022-12-28,Epsilon,n2xk62,1711.0,70.0,1641.0
0120,John Doe,India,2022-04-27,Gamma,4sigwc,8583.0,4603.0,3980.0
0121,Charlie Davis,United Arab Emirates,2023-04-25,Alpha,zne1r9,5200.0,4884.0,316.0
0122,Frank Thomas,United Kingdom,2023-02-12,Gamma,2o4a2y,2074.0,,
0123,Bob Brown,United Kingdom,2023-01-06,Iota,3l5rfp,253.0,1493.0,-1240.0
0124,Frank Thomas,Brazil,2022-11-19,Epsilon,vbw64l,7174.0,3087.0,4087.0
0125,Jane Smith,India,2022-12-03,Theta,a6nce4,4663.0,1183.0,3480.0
0126,Frank Thomas,United Arab Emirates,2023-09-19,Kappa,g4vgbd,1040.0,,
0127,John Doe,USA,2022-12-28,Eta,9pdppp,2267.0,504.0,1763.0
0128,Bob Brown,United Arab Emirates,2022-10-18,Zeta,qeescl,2381.0,718.0,1663.0
0129,John Doe,USA,2022-11-03,Delta,bnb4zu,6989.0,232.0,6757.0
0130,John Doe,Brazil,2022-10-15,Theta,4gzqcv,4362.0,2045.0,2317.0
0131,Frank Thomas,USA,2022-10-08,Eta,oyf02n,1738.0,503.0,1235.0
0132,Alice Johnson,Brazil,2022-11-07,Iota,fw7beg,1830.0,2857.0,-1027.0
0133,Frank Thomas,France,2023-02-16,Delta,wjpczl,1879.0,3870.0,-1991.0
0134,Charlie Davis,USA,2023-10-09,Epsilon,x3wtev,7644.0,2614.0,5030.0
0135,Alice Johnson,USA,2022-08-05,Delta,p9brgu,868.0,4963.0,-4095.0
0136,Eve Wilson,India,2022-11-22,Zeta,6n6f8g,7017.0,3524.0,3493.0
0137,Bob Brown,France,2022-07-29,Theta,occlkc,1653.0,4829.0,-3176.0
0138,Jane Smith,USA,2022-11-23,Theta,l7bsgu,3109.0,,
0139,Jane Smith,Brazil,2023-01-06,Delta,j5reao,9598.0,3039.0,6559.0
0140,Charlie Davis,USA,2023-04-27,Eta,7zm9z6,6614.0,2374.0,4240.0
0141,Charlie Davis,India,2023-07-11,Theta,tg78mz,2519.0,4442.0,-1923.0
0142,John Doe,United Arab Emirates,2023-03-23,Delta,qy43g1,4400.0,2050.0,2350.0
0143,Charlie Davis,France,2023-10-14,Kappa,dacn6m,5822.0,2822.0,3000.0
0144,Alice Johnson,France,2023-11-27,Kappa,70nrpn,1081.0,4923.0,-3842.0
0145,Jane Smith,USA,2022-08-03,Kappa,4bty9k,2116.0,,
0146,Jane Smith,Brazil,2023-09-01,Epsilon,9zvodu,7210.0,66.0,7144.0
0147,Bob Brown,United Kingdom,2023-07-22,Iota,4d6qll,5347.0,4977.0,370.0
0148,Charlie Davis,USA,2022-11-06,Zeta,tk7d8f,9035.0,126.0,8909.0
0149,Charlie Davis,United Arab Emirates,2022-01-04,Theta,8bsivs,6199.0,3048.0,3151.0
0150,Bob Brown,Brazil,2022-10-10,Epsilon,j3kdcp,7339.0,3041.0,4298.0
0151,Eve Wilson,USA,2023-01-13,Kappa,4vrpf4,881.0,760.0,121.0
0152,Eve Wilson,Brazil,2022-06-18,Kappa,4icj20,5233.0,2727.0,2506.0
0153,Jane Smith,USA,2023-07-15,Alpha,vmj5zt,3917.0,2110.0,1807.0
0154,John Doe,India,2023-12-12,Beta,tl11j9,6840.0,1569.0,5271.0
0155,John Doe,USA,2022-09-03,Eta,xv6wjq,8659.0,4935.0,3724.0
0156,Eve Wilson,India,2023-01-02,Iota,v5bha5,6043.0,1133.0,4910.0
0157,John Doe,United Arab Emirates,2023-10-10,Delta,erjg1i,2099.0,1485.0,614.0
0158,Jane Smith,United Kingdom,2022-12-26,Epsilon,7k5ogk,9273.0,3885.0,5388.0
0159,Eve Wilson,United Arab Emirates,2023-05-28,Epsilon,m0ycme,8545.0,2152.0,6393.0
0160,Charlie Davis,France,2022-01-09,Zeta,d39xk4,9816.0,,
0161,Bob Brown,United Arab Emirates,2022-05-21,Alpha,u1a1ps,5952.0,1556.0,4396.0
0162,John Doe,USA,2022-03-29,Kappa,794f5c,9923.0,2411.0,7512.0
0163,Charlie Davis,Brazil,2023-03-07,Alpha,tzd4n3,9836.0,4864.0,4972.0
0164,Charlie Davis,Brazil,2023-12-19,Delta,476vxp,7175.0,3104.0,4071.0
0165,Frank Thomas,India,2022-10-25,Gamma,fgwn50,8282.0,505.0,7777.0
0166,John Doe,India,2022-06-04,Theta,qls1yb,4228.0,2756.0,1472.0
0167,Jane Smith,USA,2023-10-02,Beta,amfb4s,3314.0,,
0168,Charlie Davis,USA,2023-09-12,Zeta,6klegt,4913.0,1000.0,3913.0
0169,Jane Smith,USA,2022-04-01,Eta,y60dwa,6134.0,1835.0,4299.0
0170,Jane Smith,India,2022-02-03,Beta,hlabr2,3713.0,2918.0,795.0
0171,Jane Smith,United Kingdom,2022-09-26,Eta,dg8r2o,3993.0,1631.0,2362.0
0172,Bob Brown,India,2022-02-05,Iota,3bp15n,3989.0,189.0,3800.0
0173,John Doe,France,2023-01-28,Eta,mhqebz,3072.0,2024.0,1048.0
0174,Jane Smith,United Kingdom,2022-10-02,Gamma,n7o6lo,9472.0,,
0175,Eve Wilson,India,2023-10-09,Iota,yzu1dr,883.0,,
0176,Bob Brown,France,2022-10-19,Zeta,2gbfj9,923.0,4877.0,-3954.0
0177,Jane Smith,United Arab Emirates,2023-04-24,Theta,ui492j,3787.0,4133.0,-346.0
0178,Frank Thomas,France,2023-02-11,Alpha,ls6s0t,4894.0,,
0179,Eve Wilson,France,2023-01-02,Alpha,ola0jg,5826.0,,
0180,Jane Smith,India,2023-07-04,Kappa,l30kc8,7643.0,394.0,7249.0
